corporation	stock
37ca22b7-1f9a-6366-d911-5e347058cfff	975a725e-47f4-f84f-2240-048d64e11349
aab5300b-0e64-d6d8-9bb2-5c9fbcb5a9cb	70ca6685-ab1b-e469-4184-f5f286841602
d80c401d-b533-298b-d978-b6c3f4667af3	4f4aba93-7198-7f75-a1a3-479915fe9a75
4128ca92-5065-3caa-e55c-c03d1e1b34df	08231d5d-7826-890b-0f8e-4ad4bf7b5a65
0b62b2a3-465a-2b02-0d49-22bce8dd96e4	4b83ccb9-5280-46de-9fe7-f7ccf328c988
b6fbb82c-24db-160b-498e-1c3a6a14c3f9	111c8c7d-16b1-caf0-3738-0971f833890f
efe65012-949f-954d-ffb7-26fad91138e5	bce20dc4-ba88-72f2-dff6-a9049d2ed6fd
83a07ab5-e51e-e260-557f-e7f7a8e666ca	1de8c143-189b-ff56-0a78-85b8cbe689e5
cd55ae09-a9cb-ae49-9f0d-de4aaca86bf5	7a8ad9fc-bd00-fdc4-8eef-5a418c72f928
2244307f-5e21-af4b-79dd-87dc970ba24c	524066bb-e1b9-4738-440e-194f242c0bf9
2bffa89c-c3a0-3547-2695-b7df6b7e335b	bbc58af8-3bee-b25c-2c6a-b6a9ac9257d8
0c950eea-9a1a-adc1-891b-2c32ff1baaa6	ee702158-6347-6e25-bcf5-e6d3a35b17b2
77d4e31f-eac1-b074-5976-e0ca4e3b7023	b7aa1142-84e5-5f5b-f48d-db5019369650
da13272f-0491-4d1d-d917-0141efdd4005	7707487f-eb6c-7f3f-cc95-e2a87f35c51a
bba18a28-08a5-24aa-03ea-26bdae5b4e93	4af2cff5-d620-ceda-70e3-ba108b14ca04
3ee3313e-f19a-af7b-8bbb-e858caf33967	8ba6e76a-80c9-9ba9-ddf6-55a66818daac
5baf6e42-ecda-84b2-e405-c21967b5b6b0	9dc36733-381c-e286-a7c2-ed8d86d2d820
7e7e7e39-c763-2c74-d22c-cfb1b1dbf8ad	dfaa43c5-d9c6-839a-1e41-d1aa2c5a7ae9
78ca9f65-0016-2ccb-11a6-4d59dd48c043	572f895c-de48-7668-2856-56d1f8d3b78e
6eb3165d-92ec-ac2f-f194-1eb43efb78c8	fdc41e7f-8db3-45ae-cdec-82bf2965b56f
7cb8e268-5688-0add-3806-c450a5e0b92f	0b5bcb4f-cd1b-1507-61be-5c0b74c040ae
7e953ecc-b80a-c99a-4f09-f7c76ad51524	a072f11b-7c1d-af91-d608-76c99d3f4d90
fe1764c7-fa64-d4c5-9d9b-46783d551e16	d8cd5d8a-4def-d6fb-66f5-a8dc678ceb66
52a3204c-f127-5869-5bdc-7279f8cad670	be667786-aa01-2323-6c10-91dd14ee3e14
e092d7a8-beeb-d202-75fa-fc5c7d15a02f	29a9ff32-0933-b54b-39ae-660ec4fa614d
24d859e3-9b23-9f7b-0dfd-5fb7fdc1d586	b8e43add-19e9-cf21-bdd2-dc3439749b85
6c175664-efd1-feec-bfee-57eafc9de4e4	f7f7d465-9ce2-419d-26c9-a5939c793e6c
baa2726d-fc5e-67e8-d264-ec9d98119f21	71f405e4-518d-71c8-6953-f0c76f5c7bb1
585c504d-a5fa-faa7-49c7-d76e1316c0d4	e695b76a-e7b0-e4d4-a319-30f7c1ba6e20
a2e277e7-2782-1c48-188e-752cb09d89e7	5d30d6f1-a95e-17ad-b7a1-50c6fbe86a2a
a75757be-4b5f-f76d-b81a-08877a4300a6	0dcb2dd3-393a-72d9-2a28-198ccb137e29
b74a4565-5df0-aa1b-4184-50e77f186d95	24795624-5096-e44d-9b7c-da88fae80507
4e382073-2e58-dd6b-1818-55fc38ab7437	05631c26-2cdb-93e8-5687-1649950d7098
e6a7c507-4661-a0f7-5da0-9e0cf39691f8	07676973-8ca0-f0ef-924e-234c845ad517
600df1d8-f297-666c-84c3-3a1ce0d415a0	b5b7fc1c-b024-6d8e-a11c-8fe8e41624ea
